congestion_control, loss_rate, goodput_Mbps, rtt_ms, bandwidth_Mbps, specified_bw_Mbps, pkt_q_delay, sig_delay
cubic, 0.001, 5.08, 100, 13.35, 100, 161.0, 295.0
bbr557, 0.001, 12.15, 100, 13.35, 100, 260.0, 493.0
bbr, 0.001, 12.25, 100, 13.35, 100, 451.0, 705.0
