congestion_control, loss_rate, goodput_Mbps, rtt_ms, bandwidth_Mbps, specified_bw_Mbps, pkt_q_delay, sig_delay
bbr557, 0.001, 5.56, 100, 5.96, 100, 491.0, 1159.0
bbr, 0.001, 5.73, 100, 5.96, 100, 784.0, 1923.0
