congestion_control, loss_rate, goodput_Mbps, rtt_ms, bandwidth_Mbps, specified_bw_Mbps, pkt_q_delay, sig_delay
cubic, 0.001, 9.28, 100, 16.85, 100, 66.0, 65.0
bbr557, 0.001, 14.72, 100, 16.85, 100, 317.0, 317.0
bbr, 0.001, 15.64, 100, 16.85, 100, 329.0, 329.0
