congestion_control, loss_rate, goodput_Mbps, rtt_ms, bandwidth_Mbps, specified_bw_Mbps
bbr557, 0.001, 0.98, 100, 1.0, 1.0
bbr, 0.001, 0.98, 100, 1.0, 1.0
